,path,emotion
0,data/emodb/wav/15a04Wb.wav,angry
1,data/emodb/wav/16a01Wb.wav,angry
2,data/emodb/wav/08a04Tb.wav,sad
3,data/emodb/wav/10a02Ab.wav,fear
4,data/emodb/wav/12b02Ea.wav,disgust
5,data/emodb/wav/11a02Tc.wav,sad
6,data/emodb/wav/08b10Nc.wav,neutral
7,data/emodb/wav/13b10Nc.wav,neutral
8,data/emodb/wav/16a07Ea.wav,disgust
9,data/emodb/wav/03b10Wc.wav,angry
10,data/emodb/wav/08a01Wa.wav,angry
11,data/emodb/wav/15a02Ta.wav,sad
12,data/emodb/wav/09a02Ea.wav,disgust
13,data/emodb/wav/15a04Ab.wav,fear
14,data/emodb/wav/10a07Wb.wav,angry
15,data/emodb/wav/13b09Fc.wav,happy
16,data/emodb/wav/11b01Eb.wav,disgust
17,data/emodb/wav/14b10Eb.wav,disgust
18,data/emodb/wav/09b03Ed.wav,disgust
19,data/emodb/wav/11b10Td.wav,sad
20,data/emodb/wav/08b10Tc.wav,sad
21,data/emodb/wav/16b10Tb.wav,sad
22,data/emodb/wav/14a01Ac.wav,fear
23,data/emodb/wav/13b02Nb.wav,neutral
24,data/emodb/wav/08b03Nb.wav,neutral
25,data/emodb/wav/09a01Wb.wav,angry
26,data/emodb/wav/09b10Wa.wav,angry
27,data/emodb/wav/10b01Aa.wav,fear
28,data/emodb/wav/14b09Ea.wav,disgust
29,data/emodb/wav/03a05Fc.wav,happy
30,data/emodb/wav/13a04Ac.wav,fear
31,data/emodb/wav/15b02Aa.wav,fear
32,data/emodb/wav/03a01Wa.wav,angry
33,data/emodb/wav/16a04Nc.wav,neutral
34,data/emodb/wav/12a07Ac.wav,fear
35,data/emodb/wav/15b09Ac.wav,fear
36,data/emodb/wav/03a05Tc.wav,sad
37,data/emodb/wav/09a05Nb.wav,neutral
38,data/emodb/wav/13a07Na.wav,neutral
39,data/emodb/wav/08b01Aa.wav,fear
40,data/emodb/wav/14a05Wb.wav,angry
41,data/emodb/wav/13a04Wc.wav,angry
42,data/emodb/wav/03a07Fb.wav,happy
43,data/emodb/wav/16b01Fa.wav,happy
44,data/emodb/wav/09a07Eb.wav,disgust
45,data/emodb/wav/11b01Ab.wav,fear
46,data/emodb/wav/14a05Fb.wav,happy
47,data/emodb/wav/14b01Ac.wav,fear
48,data/emodb/wav/14a07Wc.wav,angry
49,data/emodb/wav/03b10Nc.wav,neutral
50,data/emodb/wav/16a07Fa.wav,happy
51,data/emodb/wav/03a04Nc.wav,neutral
52,data/emodb/wav/08b10Wa.wav,angry
53,data/emodb/wav/10a07Ta.wav,sad
54,data/emodb/wav/13b09Ab.wav,fear
55,data/emodb/wav/14a05Aa.wav,fear
56,data/emodb/wav/15a07Fb.wav,happy
57,data/emodb/wav/03a04Ad.wav,fear
58,data/emodb/wav/15a02Wb.wav,angry
59,data/emodb/wav/11b10Ad.wav,fear
60,data/emodb/wav/13b03Td.wav,sad
61,data/emodb/wav/03a05Wb.wav,angry
62,data/emodb/wav/16a01Nc.wav,neutral
63,data/emodb/wav/09a01Ea.wav,disgust
64,data/emodb/wav/16b10Aa.wav,fear
65,data/emodb/wav/08b01Na.wav,neutral
66,data/emodb/wav/16b02Wb.wav,angry
67,data/emodb/wav/15a07Eb.wav,disgust
68,data/emodb/wav/14b09Wc.wav,angry
69,data/emodb/wav/10a04Fd.wav,happy
70,data/emodb/wav/15a07Ac.wav,fear
71,data/emodb/wav/03a02Wc.wav,angry
72,data/emodb/wav/12a01Nb.wav,neutral
73,data/emodb/wav/15a04Nc.wav,neutral
74,data/emodb/wav/12a02Wc.wav,angry
75,data/emodb/wav/09b03Ta.wav,sad
76,data/emodb/wav/13a05Aa.wav,fear
77,data/emodb/wav/11a05Wd.wav,angry
78,data/emodb/wav/14a05Wa.wav,angry
79,data/emodb/wav/09a07Wd.wav,angry
80,data/emodb/wav/16a01Tb.wav,sad
81,data/emodb/wav/15b03Tc.wav,sad
82,data/emodb/wav/11b03Td.wav,sad
83,data/emodb/wav/16a04Wb.wav,angry
84,data/emodb/wav/12a07Wa.wav,angry
85,data/emodb/wav/03a05Aa.wav,fear
86,data/emodb/wav/11a07Ta.wav,sad
87,data/emodb/wav/14a05Na.wav,neutral
