,path,emotion
0,data/training/Actor_22/03-02-04-02-02-01-22_sad.wav,sad
1,data/training/Actor_22/03-02-04-02-01-01-22_sad.wav,sad
2,data/training/Actor_22/22_01_02_01_kids-talking_sad.wav,sad
3,data/training/Actor_22/22_01_01_02_dogs-sitting_sad.wav,sad
4,data/training/Actor_22/22_01_01_02_kids-talking_sad.wav,sad
5,data/training/Actor_22/22_01_02_02_kids-talking_sad.wav,sad
6,data/training/Actor_22/03-02-04-01-01-01-22_sad.wav,sad
7,data/training/Actor_22/03-02-04-01-01-02-22_sad.wav,sad
8,data/training/Actor_22/22_01_01_01_dogs-sitting_sad.wav,sad
9,data/training/Actor_22/22_01_02_02_dogs-sitting_sad.wav,sad
10,data/training/Actor_22/03-02-04-01-02-01-22_sad.wav,sad
11,data/training/Actor_22/03-02-04-02-02-02-22_sad.wav,sad
12,data/training/Actor_22/03-02-04-02-01-02-22_sad.wav,sad
13,data/training/Actor_22/22_01_02_01_dogs-sitting_sad.wav,sad
14,data/training/Actor_22/22_01_01_01_kids-talking_sad.wav,sad
15,data/training/Actor_22/03-02-04-01-02-02-22_sad.wav,sad
16,data/training/Actor_12/12_01_02_01_kids-talking_sad.wav,sad
17,data/training/Actor_12/12_02_01_02_kids-talking_sad.wav,sad
18,data/training/Actor_12/03-02-04-02-02-01-12_sad.wav,sad
19,data/training/Actor_12/12_02_01_02_dogs-sitting_sad.wav,sad
20,data/training/Actor_12/12_01_01_01_kids-talking_sad.wav,sad
21,data/training/Actor_12/03-02-04-01-02-02-12_sad.wav,sad
22,data/training/Actor_12/12_01_01_01_dogs-sitting_sad.wav,sad
23,data/training/Actor_12/03-02-04-02-02-02-12_sad.wav,sad
24,data/training/Actor_12/12_02_01_01_dogs-sitting_sad.wav,sad
25,data/training/Actor_12/12_01_02_01_dogs-sitting_sad.wav,sad
26,data/training/Actor_12/03-02-04-01-01-01-12_sad.wav,sad
27,data/training/Actor_12/12_01_01_02_dogs-sitting_sad.wav,sad
28,data/training/Actor_12/12_02_01_01_kids-talking_sad.wav,sad
29,data/training/Actor_12/03-02-04-01-02-01-12_sad.wav,sad
30,data/training/Actor_12/03-02-04-02-01-01-12_sad.wav,sad
31,data/training/Actor_12/12_02_02_02_dogs-sitting_sad.wav,sad
